City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
473,Codrington,AU,-38.2667,141.9667,61.72,70,90,11.61,overcast clouds
474,Hualmay,PE,-11.0964,-77.6139,67.1,84,88,7.67,overcast clouds
475,Kristianstad,SE,56.0313,14.1524,37.54,93,100,5.75,drizzle
476,Masaurhi,IN,25.3509,85.0342,58.89,63,0,5.59,clear sky
477,Makhachkala,RU,42.9764,47.5024,42.78,69,91,14.65,overcast clouds
478,Macara,EC,-4.3833,-79.95,74.43,65,99,5.03,overcast clouds
479,Burnie,AU,-41.0667,145.9167,64.94,42,0,5.37,clear sky
480,Cururupu,BR,-1.8283,-44.8683,74.12,95,34,2.91,scattered clouds
481,Moskovskiy,RU,55.5991,37.355,9.91,85,100,4.47,mist
482,Zhigansk,RU,66.7697,123.3711,-29.78,98,72,7.87,broken clouds
483,Yaan,NG,7.3833,8.5667,73.42,28,90,2.46,overcast clouds
484,Sur,OM,22.5667,59.5289,72.23,57,93,1.16,overcast clouds
485,Atbasar,KZ,51.8,68.3333,7.05,77,100,16.17,overcast clouds
486,Songjianghe,CN,42.1859,127.479,1.9,63,63,11.63,broken clouds
487,Zaranj,AF,30.9667,61.8833,53.33,55,100,13.58,overcast clouds
488,Asuncion,PY,-25.3007,-57.6359,76.44,88,15,0.0,few clouds
489,Asfi,MA,32.2994,-9.2372,57.31,79,77,4.05,broken clouds
490,Kenai,US,60.5544,-151.2583,13.14,88,100,3.44,overcast clouds
491,Yumen,CN,40.2833,97.2,8.64,76,100,0.96,overcast clouds
492,Nalut,LY,30.3333,10.85,48.94,50,5,5.48,clear sky
493,Coahuayana,MX,18.7333,-103.6833,76.69,87,32,1.92,scattered clouds
494,Yermekeyevo,RU,54.0761,53.6712,6.13,97,100,2.46,overcast clouds
495,Inongo,CD,-1.95,18.2667,68.61,94,100,2.08,overcast clouds
496,Shunyi,CN,40.125,116.6453,24.75,30,0,8.95,clear sky
497,Daru,PG,-9.0763,143.2092,84.13,68,100,8.19,overcast clouds
498,Beloha,MG,-25.1667,45.05,69.62,89,100,9.42,overcast clouds
499,Nemuro,JP,43.3236,145.575,29.3,52,43,21.23,scattered clouds
500,Elko,US,41.0002,-115.5012,37.42,60,100,1.99,overcast clouds
501,Flinders,AU,-34.5833,150.8552,69.26,62,100,8.21,overcast clouds
502,Namatanai,PG,-3.6667,152.4333,86.41,63,77,4.81,broken clouds
503,Minot,US,48.2325,-101.2963,7.02,72,0,5.75,clear sky
504,Paratinga,BR,-12.6906,-43.1842,70.47,93,100,3.6,overcast clouds
505,Namibe,AO,-15.1961,12.1522,68.97,79,100,8.59,overcast clouds
506,Boralday,KZ,43.3578,76.8594,31.86,100,100,11.18,mist
507,Candoni,PH,9.817,122.6043,81.82,73,88,12.08,overcast clouds
508,Nyurba,RU,63.2842,118.3319,-26.84,99,100,3.47,overcast clouds
509,Muroto,JP,33.2833,134.15,52.75,66,96,2.42,overcast clouds
510,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,81.88,38,23,4.68,few clouds
511,Yei,SS,4.095,30.6779,66.54,88,100,1.95,overcast clouds
512,Port Angeles,US,48.1181,-123.4307,39.07,75,100,6.91,overcast clouds
513,La Ronge,CA,55.1001,-105.2842,-10.95,70,100,6.91,overcast clouds
514,Samdari,IN,25.8167,72.5833,60.8,34,0,7.4,clear sky
515,Sudbury,CA,46.49,-80.99,29.05,65,100,15.01,overcast clouds
516,Puqi,CN,29.7167,113.8833,29.64,88,100,5.97,light snow
517,Vao,NC,-22.6667,167.4833,79.11,80,16,6.44,few clouds
518,Seoul,KR,37.5683,126.9778,25.99,28,0,6.91,clear sky
519,Sabang,ID,5.8933,95.3214,80.44,73,100,2.15,overcast clouds
520,Rameshki,RU,57.3439,36.0453,6.98,95,100,3.85,overcast clouds
521,Whitecourt,CA,54.1502,-115.6855,-4.76,71,100,4.61,overcast clouds
522,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,88,75,4.47,broken clouds
523,Guilin,CN,25.2819,110.2864,37.51,88,100,10.02,overcast clouds
524,Saurimo,AO,-9.6608,20.3916,61.63,96,87,1.34,overcast clouds
525,Ducheng,CN,23.2373,111.5317,48.85,74,96,6.13,overcast clouds
526,Laon,FR,49.5667,3.6667,42.89,75,82,5.99,broken clouds
527,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.96,82,99,7.83,overcast clouds
528,Zhezkazgan,KZ,47.8043,67.7144,15.78,92,100,4.47,overcast clouds
529,Launceston,AU,-41.45,147.1667,68.61,53,100,8.05,overcast clouds
530,Buluang,PH,13.3068,123.3425,83.26,74,100,5.82,overcast clouds
531,Nador,MA,35.174,-2.9287,50.25,76,0,3.44,clear sky
532,Lasa,IT,46.6166,10.7002,41.88,82,61,1.66,broken clouds
533,Jardim,BR,-21.4803,-56.1381,75.54,56,13,3.38,few clouds
534,Samarai,PG,-10.6167,150.6667,85.57,70,100,5.79,overcast clouds
535,Tongchuan,CN,35.0806,109.0897,26.31,24,85,0.81,overcast clouds
536,Netanya,IL,32.3329,34.8599,57.94,72,0,6.62,clear sky
537,Gushikawa,JP,26.3544,127.8686,67.23,82,100,14.97,overcast clouds
538,Melipilla,CL,-33.7,-71.2167,54.41,90,15,4.79,few clouds
539,Mezhdurechenskiy,RU,59.6,65.9333,-0.15,94,99,3.4,overcast clouds
540,Leningradskiy,RU,69.3833,178.4167,11.91,90,100,8.16,overcast clouds
541,Matara,LK,5.9485,80.5353,75.34,88,100,2.89,overcast clouds
